id,name,bodyPart,equipment,target,secondaryMuscles,difficulty,category,caloriesBurned,instructions,commonMistakes,image,videoUrl
14,Walking Dumbbell Lunge,legs,dumbbell,"quadriceps, glutes","hamstrings, calves",Beginner,Hypertrophy,105,Step forward with dumbbell in each hand. Lower back knee toward floor. Push off front heel to step into next lunge.,"Knee extending beyond toes, leaning forward.",https://images.unsplash.com/photo-1434608519344-49d77a699e1d?w=500,https://www.youtube.com/embed/D7KaRcUTQeE
15,Standing Calf Raise,legs,machine,calves,soleus,Beginner,Hypertrophy,70,"Place balls of feet on step edge. Lower heels for stretch, press up onto toes forcefully.","Bouncing, rushing through partial range of motion.",https://images.unsplash.com/photo-1583454110551-21f2fa2afe61?w=500,https://www.youtube.com/embed/-M4-G8p8fmc
16,Overhead Dumbbell Press,shoulders,dumbbell,"front deltoids, side deltoids","triceps, upper chest",Intermediate,Strength,110,Sit or stand with dumbbells at shoulder height. Press upward until arms fully extended over head.,"Arching lower back, flaring elbows back.",https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?w=500,https://www.youtube.com/embed/qEwKCR5JCog
17,Dumbbell Lateral Raise,shoulders,dumbbell,side deltoids,traps,Beginner,Hypertrophy,75,Stand holding dumbbells at sides. Raise arms out to sides until parallel with floor with soft elbow bend.,"Shrugging shoulders, using torso momentum.",https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?w=500,https://www.youtube.com/embed/3VcKaXpzqRo
18,Face Pull,shoulders,cable,"rear deltoids, rotator cuff","rhomboids, traps",Beginner,Rehabilitation,80,Attach rope to high pulley. Pull rope towards nose while splitting rope ends and externally rotating shoulders.,"Pulling bar down to neck instead of face, rushing.",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=500,https://www.youtube.com/embed/rep-qVOkqgk
19,Barbell Biceps Curl,upper arms,barbell,biceps,forearms,Beginner,Hypertrophy,80,"Hold bar underhand shoulder-width. Keep elbows pinned to sides, curl weight to shoulder height.","Swinging hips, moving elbows forward.",https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?w=500,https://www.youtube.com/embed/kwG2ipFRgfo
20,Triceps Dip,upper arms,body weight,triceps,"chest, front deltoids",Intermediate,Bodyweight,100,"Grip dip bars, lower body until upper arms parallel to floor. Push up forcefully.",Dipping too deep causing shoulder strain.,https://images.unsplash.com/photo-1598971639058-fab3c3109a00?w=500,https://www.youtube.com/embed/2z8JmcrW-As
21,Cable Triceps Pushdown,upper arms,cable,triceps,forearms,Beginner,Hypertrophy,80,Grip rope or bar attachment at chest height. Extend elbows fully down while keeping upper arms fixed.,"Flaring elbows outward, letting shoulders roll forward.",https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=500,https://www.youtube.com/embed/vB5OHsJ3EME
22,Plank Hold,waist,body weight,abs,"obliques, lower back",Beginner,Bodyweight,60,"Rest on forearms and toes. Keep head, spine, and hips in a straight line while pulling belly button inward.","Sagging lower back, sticking butt in air.",https://images.unsplash.com/photo-1566241142559-40e1dab266c6?w=500,https://www.youtube.com/embed/pSHjTRCQxIw
23,Hanging Leg Raise,waist,body weight,lower abs,"hip flexors, grip",Intermediate,Bodyweight,90,Hang from pull-up bar. Raise legs straight up to 90 degrees without swinging.,Swinging legs using momentum.,https://images.unsplash.com/photo-1526506118085-60ce8714f8c5?w=500,https://www.youtube.com/embed/hdng3Nm1x_E
24,Russian Twist,waist,body weight,obliques,abs,Beginner,Core,75,"Sit on floor with knees bent, lean torso back 45 degrees. Twist torso side to side touching hands or weight.",Moving only arms without rotating shoulder girdle.,https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=500,https://www.youtube.com/embed/wkD8rjkXyUI
25,Treadmill Interval Running,cardio,machine,cardiovascular system,"quadriceps, calves, hamstrings",Beginner,Cardio,180,Alternate between 1 minute sprint at high speed and 1 minute recovery jog/walk.,Holding onto treadmill handrails while running.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=500,https://www.youtube.com/embed/8236ejm8R8A
26,Jumping Rope,cardio,resistance band,cardiovascular system,"calves, shoulders, core",Beginner,Cardio,160,Hold handles at waist height. Jump smoothly on balls of feet as rope passes beneath.,"Jumping too high, bending knees excessively.",https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=500,https://www.youtube.com/embed/u3zgHI8QnqE
27,Burpees,cardio,body weight,full body,"quadriceps, chest, core",Intermediate,Cardio,170,"From standing, drop into pushup position, perform pushup, snap feet forward and jump up explosively.",Arching lower back on pushup portion.,https://images.unsplash.com/photo-1598971639058-fab3c3109a00?w=500,https://www.youtube.com/embed/dZgVxmf6jkA
28,Cat-Cow Stretch,back,body weight,"spine, spinal erectors","abs, neck",Beginner,Flexibility,40,"On hands and knees, arch spine up like a cat while exhaling, then dip belly low and lift head while inhaling.",Forcing movement beyond comfortable range.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=500,https://www.youtube.com/embed/kqnua4rHVVA
29,Doorway Pectoral Stretch,chest,body weight,pectorals,front deltoids,Beginner,Flexibility,35,Place forearm against door frame at 90 degrees. Lean forward gently until stretch is felt in chest.,Twisting hips or forcing joint.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=500,https://www.youtube.com/embed/M3jC8tAflsU
30,Band External Shoulder Rotation,shoulders,resistance band,rotator cuff,rear deltoids,Beginner,Rehabilitation,45,"Attach band at waist height. Keep elbow pinned to waist at 90 degrees, rotate forearm outward.",Moving elbow away from body side.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=500,https://www.youtube.com/embed/V1yW9sHhN14
