title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_notes
Idli,"Rice, parboiled, milled, Black gram, dal, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,146.80000000000001,4.7,0.3,30.4,0.31,per 100 g finished dish,200,293.60000000000002,9.4,0.6,60.8,0.62,Standard fermented idli batter; per 100 g finished idli.
Idli + Coconut Chutney,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties, Gingelly oil, Curry leaves, Mustard seeds",South India,vegetarian,breakfast,condiment,154.5,4.0999999999999996,4.4000000000000004,23.9,0.313,per 100 g finished dish,200,309,8.1999999999999993,8.8000000000000007,47.8,0.626,Idli and coconut chutney combo; per 100 g finished dish.
Idli + Sambar,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,vegetarian,breakfast,main,111.3,4,0.7,21.6,0.29399999999999998,per 100 g finished dish,200,222.6,8,1.4,43.2,0.58799999999999997,Idli and sambar combo; per 100 g finished dish.
Idli + Sambar + Coconut Chutney,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties",South India,vegetarian,breakfast,condiment,125,3.8,3,20.100000000000001,0.29899999999999999,per 100 g finished dish,200,250,7.6,6,40.200000000000003,0.59799999999999998,"Idli, sambar and coconut chutney combo; per 100 g finished dish."
Kambu Koozh,"Bajra, Milk, whole, Cow, Onion, small, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,64.099999999999994,2.2000000000000002,1.6,10,0.20200000000000001,per 100 g finished dish,200,128.19999999999999,4.4000000000000004,3.2,20,0.40400000000000003,Pearl millet koozh; milk used as cultured-dairy proxy.
Kara Pongal,"Rice, raw, milled, Green gram, dal, Onion, big, Tomato, ripe, local, Ginger, fresh, Chillies, green - all varieties, Ghee, Table salt (sodium from NaCl), Curry leaves, Water",South India,vegetarian,breakfast,main,90.8,2.9,1.3,16.5,0.20799999999999999,per 100 g finished dish,200,181.6,5.8,2.6,33,0.41599999999999998,Savory kara pongal estimate; per 100 g finished dish.
Onion Uthappam,"Rice, parboiled, milled, Black gram, dal, Onion, big, Table salt (sodium from NaCl), Gingelly oil, Water",South India,vegetarian,breakfast,main,142.4,3.9,2.4,25.6,0.29299999999999998,per 100 g finished dish,200,284.8,7.8,4.8,51.2,0.58599999999999997,Uthappam batter with onion topping; per 100 g finished dish.
Onion Uthappam + Sambar,"Water, Gingelly oil, Table salt (sodium from NaCl), Onion, big, Black gram, dal, Rice, parboiled, milled, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,vegetarian,breakfast,main,107.3,3.5,1.9,18.399999999999999,0.28299999999999997,per 100 g finished dish,200,214.6,7,3.8,36.799999999999997,0.56599999999999995,Onion uthappam and sambar combo; per 100 g finished dish.
Paniyaram,"Rice, raw, milled, Black gram, dal, Onion, big, Chillies, green - all varieties, Curry leaves, Table salt (sodium from NaCl), Gingelly oil, Water",South India,vegetarian,breakfast,main,145.30000000000001,4.0999999999999996,2.2000000000000002,26.5,0.30199999999999999,per 100 g finished dish,200,290.60000000000002,8.1999999999999993,4.4000000000000004,53,0.60399999999999998,Kuzhi paniyaram style batter estimate; per 100 g finished dish.
Paniyaram + Tomato Chutney,"Rice, raw, milled, Black gram, dal, Onion, big, Chillies, green - all varieties, Curry leaves, Table salt (sodium from NaCl), Gingelly oil, Water, Mustard seeds, Garlic, big cloves, Chillies, red, Tomato, ripe, local, Tamarind, pulp",South India,vegetarian,breakfast,condiment,119.5,3.3,2.2999999999999998,20.8,0.307,per 100 g finished dish,200,239,6.6,4.5999999999999996,41.6,0.61399999999999999,Paniyaram and tomato chutney combo; per 100 g finished dish.
Pesarattu,"Green gram, dal, Rice, raw, milled, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Table salt (sodium from NaCl), Gingelly oil, Water",South India,vegetarian,breakfast,main,131.30000000000001,7.5,2.1,19.899999999999999,0.318,per 100 g finished dish,200,262.60000000000002,15,4.2,39.799999999999997,0.63600000000000001,Green gram dosa (pesarattu) style estimate; per 100 g finished dish.
Pesarattu + Coconut Chutney,"Green gram, dal, Rice, raw, milled, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Table salt (sodium from NaCl), Gingelly oil, Water, Coconut, kernel, fresh, Bengal gram, dal, Curry leaves, Mustard seeds",South India,vegetarian,breakfast,condiment,143.4,6.2,6,15.8,0.318,per 100 g finished dish,200,286.8,12.4,12,31.6,0.63600000000000001,Pesarattu and coconut chutney combo; per 100 g finished dish.
Plain Uthappam,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil",South India,vegetarian,breakfast,main,159.5,4.5,1.9,30.2,0.318,per 100 g finished dish,200,319,9,3.8,60.4,0.63600000000000001,Plain uthappam batter and pan-cook estimate; per 100 g finished dish.
Plain Uthappam + Sambar,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,vegetarian,breakfast,main,117.3,3.8,1.6,21.1,0.29699999999999999,per 100 g finished dish,200,234.6,7.6,3.2,42.2,0.59399999999999997,Plain uthappam and sambar combo; per 100 g finished dish.
Puttu,"Rice, raw, milled, Coconut, kernel, fresh, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,153.6,2.8,5.0999999999999996,23.7,0.26400000000000001,per 100 g finished dish,200,307.2,5.6,10.199999999999999,47.4,0.52800000000000002,Steamed rice-coconut puttu; per 100 g finished dish.
Puttu + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Coconut, kernel, fresh, Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",South India,vegetarian,breakfast,main,110.5,2.1,4.3,15.5,0.23100000000000001,per 100 g finished dish,200,221,4.2,8.6,31,0.46200000000000002,Puttu and vegetable kurma combo; per 100 g finished dish.
Ragi Dosa,"Ragi, Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil",South India,vegetarian,breakfast,main,139.80000000000001,3.6,2,26.1,0.28399999999999997,per 100 g finished dish,200,279.60000000000002,7.2,4,52.2,0.56799999999999995,Ragi dosa standardized batter; per 100 g finished dish.
Ragi Dosa + Tomato Chutney,"Ragi, Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil, Curry leaves, Mustard seeds, Garlic, big cloves, Chillies, red, Onion, big, Tomato, ripe, local, Tamarind, pulp",South India,vegetarian,breakfast,condiment,112.6,2.9,2.1,19.8,0.29499999999999998,per 100 g finished dish,200,225.2,5.8,4.2,39.6,0.59,Ragi dosa and tomato chutney combo; per 100 g finished dish.
Ragi Kali,"Ragi, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,82.5,1.8,0.5,17.2,0.22600000000000001,per 100 g finished dish,200,165,3.6,1,34.4,0.45200000000000001,Ragi kali; per 100 g finished dish.
Rava Kichadi,"Wheat, semolina, Onion, big, Tomato, ripe, local, Carrot, orange, French beans, country, Chillies, green - all varieties, Ginger, fresh, Mustard seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,82.6,2.4,2.2000000000000002,12.8,0.32100000000000001,per 100 g finished dish,200,165.2,4.8,4.4000000000000004,25.6,0.64200000000000002,Vegetable rava kichadi; per 100 g finished dish.
Tomato Chutney,"Tomato, ripe, local, Onion, big, Garlic, big cloves, Chillies, red, Gingelly oil, Mustard seeds, Curry leaves, Table salt (sodium from NaCl), Tamarind, pulp, Water",South India,vegetarian,breakfast,condiment,47.4,1.1000000000000001,2.5,4.8,0.32300000000000001,per 100 g finished dish,200,94.8,2.2000000000000002,5,9.6,0.64600000000000002,Tomato-onion chutney; per 100 g finished dish.
Tomato Uthappam,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil",South India,vegetarian,breakfast,main,137.80000000000001,3.9,1.6,26.1,0.26500000000000001,per 100 g finished dish,200,275.60000000000002,7.8,3.2,52.2,0.53,Tomato uthappam with onion topping; per 100 g finished dish.
Tomato Uthappam + Coconut Chutney,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Curry leaves, Mustard seeds",South India,vegetarian,breakfast,condiment,148.19999999999999,3.5,5.6,20.399999999999999,0.27900000000000003,per 100 g finished dish,200,296.39999999999998,7,11.2,40.799999999999997,0.55800000000000005,Tomato uthappam and coconut chutney combo; per 100 g finished dish.
Upma,"Wheat, semolina, Onion, big, Chillies, green - all varieties, Ginger, fresh, Mustard seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,94,2.6,2.5,14.8,0.32500000000000001,per 100 g finished dish,200,188,5.2,5,29.6,0.65,Semolina upma; per 100 g finished dish.
Vegetable Semiya Kichadi,"Wheat, vermicelli, Onion, big, Carrot, orange, French beans, country, Peas, fresh, Chillies, green - all varieties, Ginger, fresh, Groundnut oil, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,74.900000000000006,2.2000000000000002,1.2,13.3,0.219,per 100 g finished dish,200,149.80000000000001,4.4000000000000004,2.4,26.6,0.438,Vegetable semiya kichadi; per 100 g finished dish.
Vegetable Uthappam,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Carrot, orange, Capsicum, green, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water, Gingelly oil",South India,vegetarian,breakfast,main,130.9,3.8,1.6,24.6,0.26,per 100 g finished dish,200,261.8,7.6,3.2,49.2,0.52,Mixed vegetable uthappam; per 100 g finished dish.
Vegetable Uthappam + Sambar,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Carrot, orange, Capsicum, green, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Curry leaves",South India,vegetarian,breakfast,main,100.6,3.4,1.5,17.8,0.26300000000000001,per 100 g finished dish,200,201.2,6.8,3,35.6,0.52600000000000002,Vegetable uthappam and sambar combo; per 100 g finished dish.
Ven Pongal,"Rice, raw, milled, Green gram, dal, Ghee, Ginger, fresh, Cumin seeds, Pepper, black, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,108.8,3.4,2.1,18.600000000000001,0.27700000000000002,per 100 g finished dish,200,217.6,6.8,4.2,37.200000000000003,0.55400000000000005,Rice-moong pongal; per 100 g finished dish.
Ven Pongal + Coconut Chutney,"Cumin seeds, Ghee, Ginger, fresh, Pepper, black, Water, Green gram, dal, Table salt (sodium from NaCl), Rice, raw, milled, Coconut, kernel, fresh, Bengal gram, dal, Chillies, green - all varieties, Gingelly oil, Curry leaves, Mustard seeds",South India,vegetarian,breakfast,condiment,126,3.2,5.7,15.1,0.28799999999999998,per 100 g finished dish,200,252,6.4,11.4,30.2,0.57599999999999996,Ven pongal and coconut chutney combo; per 100 g finished dish.
Ven Pongal + Sambar,"Cumin seeds, Ghee, Ginger, fresh, Pepper, black, Water, Green gram, dal, Table salt (sodium from NaCl), Rice, raw, milled, Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,vegetarian,breakfast,main,88.5,3.2,1.8,14.5,0.27400000000000002,per 100 g finished dish,200,177,6.4,3.6,29,0.54800000000000004,Ven pongal and sambar combo; per 100 g finished dish.
Vermicelli Upma,"Wheat, vermicelli, Onion, big, Carrot, orange, French beans, country, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,78.8,2.1,1.4,13.9,0.20100000000000001,per 100 g finished dish,200,157.6,4.2,2.8,27.8,0.40200000000000002,Vermicelli upma; per 100 g finished dish.
Omelette,"Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Coriander leaves, Gingelly oil, Table salt (sodium from NaCl)",South India,non_vegetarian,breakfast/dinner,main,141.19999999999999,10.6,10.3,1.6,0.34100000000000003,per 100 g finished dish,250,353,26.5,25.8,4,0.85199999999999998,Onion omelette; per 100 g finished dish.
Anchovy Fry,"Anchovy, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Curry leaves, Water",South India,non_vegetarian,dinner,main,95.1,11.5,4.3,2.4,0.47699999999999998,per 100 g finished dish,300,285.3,34.5,12.9,7.2,1.431,Nethili fry; per 100 g finished dish.
Fish Fry,"Vanjaram, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Lemon, juice",South India,non_vegetarian,dinner,main,165.7,18.899999999999999,9.1999999999999993,1.3,0.496,per 100 g finished dish,300,497.1,56.7,27.6,3.9,1.488,Vanjaram fish fry; per 100 g finished dish.
Mutton Chukka,"Goat, shoulder, meat, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Pepper, black, Coriander seeds, Cumin seeds, Gingelly oil, Curry leaves, Table salt (sodium from NaCl), Water",South India,non_vegetarian,dinner,main,116.1,9.1,7.6,2.7,0.39400000000000002,per 100 g finished dish,300,348.3,27.3,22.8,8.1,1.1819999999999999,Goat-meat chukka; per 100 g finished dish.
Pepper Chicken,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Pepper, black, Cumin seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,non_vegetarian,dinner,main,212.6,9.6999999999999993,8.1999999999999993,2.2000000000000002,0.45,per 100 g finished dish,300,637.79999999999995,29.1,24.6,6.6,1.35,"Pepper chicken; semi-dry preparation, per 100 g finished dish."
Chicken Biryani,"Rice, raw, milled, Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water",South India,non_vegetarian,lunch,main,227.4,8,6.9,19,0.35099999999999998,per 100 g finished dish,400,909.6,32,27.6,76,1.4039999999999999,Home-style chicken biryani; milk used as curd proxy in marinade.
Chicken Curry,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",South India,non_vegetarian,lunch,side,194.1,7.7,9.3000000000000007,2.9,0.38100000000000001,per 100 g finished dish,400,776.4,30.8,37.200000000000003,11.6,1.524,Tamil-style chicken curry; per 100 g finished dish.
Egg Curry,"Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",South India,non_vegetarian,lunch,side,67.3,3.9,4.7,2.1,0.36499999999999999,per 100 g finished dish,400,269.2,15.6,18.8,8.4,1.46,Egg curry; per 100 g finished dish.
Fish Curry,"Vanjaram, Onion, big, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Ginger, fresh, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",South India,non_vegetarian,lunch,side,105.1,8.3000000000000007,5.9,4.3,0.36499999999999999,per 100 g finished dish,400,420.4,33.200000000000003,23.6,17.2,1.46,Vanjaram fish curry; per 100 g finished dish.
Prawn Thokku,"Tiger prawns, brown, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Curry leaves, Table salt (sodium from NaCl), Water",South India,non_vegetarian,lunch,side,66.599999999999994,7,3,2.6,0.53300000000000003,per 100 g finished dish,400,266.39999999999998,28,12,10.4,2.1320000000000001,Prawn thokku; per 100 g finished dish.
Avial,"Ash gourd, Drumstick, Carrot, orange, French beans, country, Plantain, green, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Milk, whole, Cow, Coconut oil, Turmeric powder, Curry leaves, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,side,82.7,1.4,6.5,4.5,0.30299999999999999,per 100 g finished dish,400,330.8,5.6,26,18,1.212,Avial modeled with milk as curd proxy (IFCT lacks curd row).
Coconut Rice,"Rice, raw, milled, Coconut, kernel, fresh, Mustard seeds, Chillies, green - all varieties, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,main,172.3,2.8,8.1,21.8,0.308,per 100 g finished dish,400,689.2,11.2,32.4,87.2,1.232,Coconut rice; per 100 g finished dish.
Curd Rice,"Rice, raw, milled, Milk, whole, Cow, Coconut, kernel, fresh, Ginger, fresh, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,main,103.8,2.8,2.6,16.899999999999999,0.25900000000000001,per 100 g finished dish,400,415.2,11.2,10.4,67.599999999999994,1.036,Curd rice modeled with whole cow milk as curd proxy (IFCT lacks curd row).
Keerai Masiyal,"Amaranth leaves, green, Onion, big, Tomato, ripe, local, Garlic, big cloves, Red gram, dal, Chillies, green - all varieties, Cumin seeds, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,side,51.5,3,1.6,5.7,0.28699999999999998,per 100 g finished dish,400,206,12,6.4,22.8,1.1479999999999999,Amaranth keerai masiyal; per 100 g finished dish.
Kootu,"Green gram, dal, Ash gourd, Carrot, orange, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,side,78,2.8,4.2,6.9,0.314,per 100 g finished dish,400,312,11.2,16.8,27.6,1.256,Vegetable kootu; per 100 g finished dish.
Lemon Rice,"Rice, raw, milled, Lemon, juice, Ginger, fresh, Chillies, green - all varieties, Mustard seeds, Turmeric powder, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,main,124.5,2.4,2.6,22.1,0.307,per 100 g finished dish,400,498,9.6,10.4,88.4,1.228,Lemon rice; per 100 g finished dish.
Rasam Rice,"Rice, raw, milled, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Pepper, black, Cumin seeds, Coriander leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,lunch,main,101.2,2.2999999999999998,0.9,20.399999999999999,0.29399999999999998,per 100 g finished dish,400,404.8,9.1999999999999993,3.6,81.599999999999994,1.1759999999999999,Rasam rice; per 100 g finished dish.
